created_at,id,url,reblog,text
2026-05-24T01:59:43.503Z,116627078084596411,https://truthsocial.com/@realDonaldTrump/116627078084596411,no,"The Democrats just released an “Autopsy” of their 2024 Presidential Campaign, typos and all, but they refused to discuss two very important words, BAD POLICY. The candidates, Sleepy Joe and then, Kamala, weren’t so “HOT” either! President DJT"
2026-05-23T20:30:37.481Z,116625784011805994,https://truthsocial.com/@realDonaldTrump/116625784011805994,no,"I am in the Oval Office at the White House where we just had a very good call with President Mohammed bin Salman Al Saud, of Saudi Arabia, Mohammed bin Zayed Al Nahyan, of The United Arab Emirates, Emir Tamim bin Hamad bin Khalifa Al Thani, Prime Minister Mohammed bin Abdulrahman bin Jassim bin Jaber Al Thani, and Minister Ali al-Thawadi, of Qatar, Field Marshal Syed Asim Munir Ahmed Shah, of Pakistan, President Recep Tayyip Erdoğan, of Türkiye, President Abdel Fattah El-Sisi, of Egypt, King Abdullah II, of Jordan, and King Hamad bin Isa Al Khalifa, of Bahrain, concerning the Islamic Republic of Iran, and all things related to a Memorandum of Understanding pertaining to PEACE. An Agreement has been largely negotiated, subject to finalization between the United States of America, the Islamic Republic of Iran, and the various other Countries, as listed. Separately, I had a call with Prime Minister Bibi Netanyahu, of Israel, which, likewise, went very well. Final aspects and details of the Deal are currently being discussed, and will be announced shortly. In addition to many other elements of the Agreement, the Strait of Hormuz will be opened. Thank you for your attention to this matter! President DONALD J. TRUMP"
2026-05-23T17:00:09.261Z,116624956408365867,https://truthsocial.com/@realDonaldTrump/116624956408365867,no,
2026-05-23T16:59:18.152Z,116624953059006946,https://truthsocial.com/@realDonaldTrump/116624953059006946,no,https://www.pressandjournal.co.uk/fp/sport/golf/7019115/trump-international-lands-colin-montgomeries-seal-of-approval/
2026-05-23T16:58:23.738Z,116624949486785240,https://truthsocial.com/@realDonaldTrump/116624949486785240,no,
2026-05-23T16:58:12.219Z,116624948733776921,https://truthsocial.com/@realDonaldTrump/116624948733776921,no,
2026-05-23T16:57:36.270Z,116624946382065756,https://truthsocial.com/@realDonaldTrump/116624946382065756,yes,"RT @realPatriotFreedomProjectThe same Dems and anti-Trumpers who are melting down over pardons now didn’t say a word while Americans were getting buried under unjust prison sentences, financially destroyed, and politically targeted by a weaponized justice system.Funny how “mercy” suddenly matters now.I’ve watched prosecutors try to turn ordinary convictions into life-destroying sentences. I’ve watched families get crushed while the media shrugged because the defendant’s politics made them easy to hate.Some were innocent. Some were clearly overcharged. Many never stood a fair chance against the machine.Pardons and clemency exist because the system isn’t perfect and pretending otherwise is dangerous.That’s what our latest Weaponization Watch piece is about. @realDonaldTrump open.substack.com/pub/patriotfre…"
2026-05-23T16:57:23.501Z,116624945545360144,https://truthsocial.com/@realDonaldTrump/116624945545360144,no,https://www.foxnews.com/politics/dem-governor-hot-seat-testing-limits-authority-major-move-ice
2026-05-23T16:57:06.341Z,116624944416340192,https://truthsocial.com/@realDonaldTrump/116624944416340192,no,
2026-05-23T16:56:32.100Z,116624942172469666,https://truthsocial.com/@realDonaldTrump/116624942172469666,no,We all miss the Huckster!
2026-05-23T16:56:14.498Z,116624941023353466,https://truthsocial.com/@realDonaldTrump/116624941023353466,no,President Trump’s Fixation On Heaven Is Good For America: https://www.americanthinker.com/articles/2026/03/president_trump_s_fixation_on_heaven_is_good_for_america.html
2026-05-23T16:55:53.145Z,116624939619517112,https://truthsocial.com/@realDonaldTrump/116624939619517112,no,
2026-05-23T16:55:38.547Z,116624938660853680,https://truthsocial.com/@realDonaldTrump/116624938660853680,no,RT: https://truthsocial.com/users/realDonaldTrump/statuses/116624937762459378
2026-05-23T16:55:24.836Z,116624937762459378,https://truthsocial.com/@realDonaldTrump/116624937762459378,no,
2026-05-23T16:55:02.315Z,116624936292481598,https://truthsocial.com/@realDonaldTrump/116624936292481598,no,Republican House Should Staple SAVE America Act to Everything It Sends the GOP Senate: https://www.dailysignal.com/2026/05/15/save-act-house-senate/
2026-05-23T16:54:46.891Z,116624935281735015,https://truthsocial.com/@realDonaldTrump/116624935281735015,no,America’s love affair with the road endures: https://www.washingtonexaminer.com/opinion/columnists/4570231/america-love-affair-roads-automobiles/
2026-05-23T16:54:22.450Z,116624933679947822,https://truthsocial.com/@realDonaldTrump/116624933679947822,no,Won Big! https://www.washingtonexaminer.com/in_focus/4571185/thomas-massie-useless-tenure-congress-coming-to-an-end/
